date,reentry,underlying_price,ATM Strike,CE Entry,PE Entry,CE Exit,PE Exit,gross_pnl,PnL,ExitReason,EntryTime,ExitTime,expiry,weekday,trading_dy_typ,CumulativePnL,ce_sell_exp,pe_sell_exp,ce_buy_exp,pe_buy_exp,tt_exp,net_PnL
04-07-25,0,25415.8,25400,170.6,142.95,172.2,106.8,2591.25,2506.25,Exit,04-07-25 9:20,04-07-25 15:20,10-07-25,Friday,4,2506.25,20.791875,17.42203125,7.10325,4.4055,49.72265625,2541.527344
07-07-25,0,25452.6,25450,128.85,123.9,124.2,106.35,1665,1580,Exit,07-07-25 9:20,07-07-25 15:20,10-07-25,Monday,3,1580,15.70359375,15.1003125,5.12325,4.3869375,40.31409375,1624.685906
08-07-25,0,25465.85,25450,114.15,99.85,148.65,47.8,1316.25,1231.25,StopLoss,08-07-25 9:20,08-07-25 15:06,10-07-25,Tuesday,2,1231.25,13.91203125,12.16921875,6.1318125,1.97175,34.1848125,1282.065188
08-07-25,1,25526.05,25550,88.15,86.55,89.15,88.1,-191.25,-276.25,Exit,08-07-25 15:11,08-07-25 15:20,10-07-25,Tuesday,2,955,10.74328125,10.54828125,3.6774375,3.634125,28.603125,-219.853125
09-07-25,0,25490.6,25500,82,71.2,103.15,46.45,270,185,StopLoss,09-07-25 9:20,09-07-25 10:20,10-07-25,Wednesday,1,185,9.99375,8.6775,4.2549375,1.9160625,24.84225,245.15775
09-07-25,1,25532.35,25550,74.95,66.6,45.7,87.25,645,560,StopLoss,09-07-25 10:25,09-07-25 14:27,10-07-25,Wednesday,1,745,9.13453125,8.116875,1.885125,3.5990625,22.73559375,622.2644063
09-07-25,2,25494.55,25500,67.35,67.7,52.3,86.7,-296.25,-381.25,StopLoss,09-07-25 14:32,09-07-25 14:53,10-07-25,Wednesday,1,363.75,8.20828125,8.2509375,2.157375,3.576375,22.19296875,-318.4429688
09-07-25,3,25425.75,25450,88.5,52.5,89.8,47,315,230,Exit,09-07-25 14:58,09-07-25 15:20,10-07-25,Wednesday,1,593.75,10.7859375,6.3984375,3.70425,1.93875,22.827375,292.172625
10-07-25,0,25462.25,25450,58.9,36,49.65,45.75,-37.5,-122.5,StopLoss,10-07-25 9:20,10-07-25 9:29,10-07-25,Thursday,0,-122.5,7.1784375,4.3875,2.0480625,1.8871875,15.5011875,-53.0011875
10-07-25,1,25450.9,25450,49.45,45.1,37.7,58.85,-150,-235,StopLoss,10-07-25 9:34,10-07-25 9:53,10-07-25,Thursday,0,-357.5,6.02671875,5.4965625,1.555125,2.4275625,15.50596875,-165.5059688
10-07-25,2,25423.15,25400,69.6,30.4,63.95,39.25,-240,-325,StopLoss,10-07-25 9:58,10-07-25 10:10,10-07-25,Thursday,0,-682.5,8.4825,3.705,2.6379375,1.6190625,16.4445,-256.4445
