date,reentry,underlying_price,ATM Strike,CE Entry,PE Entry,CE Exit,PE Exit,PnL,ExitReason,EntryTime,ExitTime,expiry,weekday,trading_dy_typ,CumulativePnL
2025-10-13,6,25252.0,25250,70.35,50.2,50.95,62.8,509.9999999999998,StopLoss,2025-10-13 14:31:00,2025-10-13 15:01:00,2025-10-14,Monday,1.0,476.2499999999995
2025-10-13,7,25225.8,25250,49.1,66.75,56.4,53.7,431.25,Exit,2025-10-13 15:06:00,2025-10-13 15:20:00,2025-10-14,Monday,1.0,907.4999999999995
2025-10-14,0,25295.4,25300,53.95,42.2,36.3,57.55,172.50000000000085,StopLoss,2025-10-14 09:20:00,2025-10-14 09:38:00,2025-10-14,Tuesday,0.0,172.50000000000085
2025-10-14,1,25267.85,25250,62.8,40.8,53.55,52.05,-150.0,StopLoss,2025-10-14 09:43:00,2025-10-14 09:44:00,2025-10-14,Tuesday,0.0,22.500000000000853
2025-10-14,2,25236.85,25250,56.05,48.35,43.15,61.1,11.250000000000426,StopLoss,2025-10-14 09:49:00,2025-10-14 10:01:00,2025-10-14,Tuesday,0.0,33.75000000000128
2025-10-14,3,25216.05,25200,55.1,62.35,75.2,27.9,1076.2500000000007,StopLoss,2025-10-14 10:06:00,2025-10-14 10:46:00,2025-10-14,Tuesday,0.0,1110.000000000002
2025-10-14,4,25237.55,25250,31.65,70.85,20.7,89.15,-551.2500000000007,StopLoss,2025-10-14 10:51:00,2025-10-14 11:06:00,2025-10-14,Tuesday,0.0,558.7500000000014
2025-10-14,5,25179.15,25200,35.75,70.85,22.1,98.65,-1061.2500000000005,StopLoss,2025-10-14 11:11:00,2025-10-14 11:25:00,2025-10-14,Tuesday,0.0,-502.4999999999991
2025-10-14,6,25122.1,25100,71.4,36.8,38.55,46.0,1773.7500000000005,StopLoss,2025-10-14 11:30:00,2025-10-14 12:28:00,2025-10-14,Tuesday,0.0,1271.2500000000014
2025-10-14,7,25092.2,25100,40.2,39.1,29.4,57.75,-588.7499999999995,StopLoss,2025-10-14 12:33:00,2025-10-14 12:39:00,2025-10-14,Tuesday,0.0,682.5000000000018
2025-10-14,8,25077.0,25100,29.4,54.9,37.45,36.2,798.7499999999993,StopLoss,2025-10-14 12:44:00,2025-10-14 13:29:00,2025-10-14,Tuesday,0.0,1481.2500000000011
2025-10-14,9,25100.9,25100,45.15,25.4,50.7,7.0,963.7499999999995,TakeProfit,2025-10-14 13:34:00,2025-10-14 14:24:00,2025-10-14,Tuesday,0.0,2445.000000000001
2025-10-15,0,25251.75,25250,159.35,85.9,201.25,59.8,-1185.000000000001,StopLoss,2025-10-15 09:20:00,2025-10-15 11:28:00,2025-10-20,Wednesday,4.0,-1185.000000000001
2025-10-15,1,25312.45,25300,157.6,76.8,162.25,66.95,389.99999999999915,Exit,2025-10-15 11:33:00,2025-10-15 15:20:00,2025-10-20,Wednesday,4.0,-795.0000000000018
2025-10-16,0,25403.6,25400,133.65,72.25,167.55,47.25,-667.5000000000005,StopLoss,2025-10-16 09:20:00,2025-10-16 12:15:00,2025-10-20,Thursday,3.0,-667.5000000000005
2025-10-16,1,25481.45,25500,101.05,77.3,128.3,68.8,-1406.250000000002,StopLoss,2025-10-16 12:20:00,2025-10-16 12:54:00,2025-10-20,Thursday,3.0,-2073.7500000000027
