date,reentry,underlying_price,ATM Strike,CE Entry,PE Entry,CE Exit,PE Exit,gross_pnl,net_PnL,ExitReason,EntryTime,ExitTime,expiry,weekday,trading_dy_typ,CumulativePnL,,ce_sell_exp,put_sell_exp,ce_buy_exp,pe_buy_exp,exp,net
24-01-25,3,23202.95,23200,166.35,181.55,126,236,-1057.5,-1142.5,StopLoss,24-01-25 13:05,24-01-25 14:42,30-01-25,Friday,4,-227.5,,20.27390625,22.1291295,0.530901,0.994386,43.92832275,-1101.428323
24-01-25,4,23076.8,23100,175.85,173.2,180.9,152.1,1203.75,1118.75,Exit,24-01-25 14:47,24-01-25 15:20,30-01-25,Friday,4,891.25,,21.43171875,21.111348,0.76222215,0.64087335,43.94616225,1159.803838
27-01-25,0,22915.05,22900,181.95,161,233.5,134,-1841.25,-1926.25,StopLoss,27-01-25 9:20,27-01-25 9:34,30-01-25,Monday,3,-1926.25,,22.17515625,19.62429,0.98385225,0.564609,43.3479075,-1884.597908
27-01-25,1,22982.05,23000,183.6,173.85,127.7,232.25,-187.5,-272.5,StopLoss,27-01-25 9:39,27-01-25 10:19,30-01-25,Monday,3,-2198.75,,22.37625,21.1905765,0.53806395,0.978585375,45.08347583,-232.5834758
27-01-25,2,22900.5,22900,173.55,175.35,131,175.05,3213.75,3128.75,Exit,27-01-25 10:24,27-01-25 15:20,30-01-25,Monday,3,930,,21.15140625,21.3734115,0.5519685,0.737573175,43.81435943,3169.935641
28-01-25,0,22916.15,22900,168.8,125.5,158.95,158.5,-1736.25,-1821.25,StopLoss,28-01-25 9:20,28-01-25 9:37,30-01-25,Tuesday,2,-1821.25,,20.5725,15.297195,0.669735825,0.66783975,37.20727058,-1773.457271
28-01-25,1,22894.65,22900,157.3,163.35,214.05,136.15,-2216.25,-2301.25,StopLoss,28-01-25 9:42,28-01-25 11:01,30-01-25,Tuesday,2,-4122.5,,19.1709375,19.9107315,0.901899675,0.573668025,40.5572367,-2256.807237
28-01-25,2,22964.35,22950,189.25,156.5,257,79.9,663.75,578.75,StopLoss,28-01-25 11:06,28-01-25 14:26,30-01-25,Tuesday,2,-3543.75,,23.06484375,19.075785,1.0828695,0.33665865,43.5601569,620.1898431
28-01-25,3,23111.15,23100,159,122,124.25,163.35,-495,-580,StopLoss,28-01-25 14:31,28-01-25 14:47,30-01-25,Tuesday,2,-4123.75,,19.378125,14.87058,0.523527375,0.688275225,35.4605076,-530.4605076
28-01-25,4,23042.9,23050,110.45,178.2,107.5,166.45,1102.5,1017.5,Exit,28-01-25 14:52,28-01-25 15:20,30-01-25,Tuesday,2,-3106.25,,13.46109375,21.720798,0.45295125,0.701337075,36.33618008,1066.16382
29-01-25,0,23019.45,23000,154.3,113.65,154.65,143.9,-2295,-2380,StopLoss,29-01-25 9:20,29-01-25 9:28,30-01-25,Wednesday,1,-2380,,18.8053125,13.8527985,0.651617775,0.60632265,33.91605143,-2328.916051
29-01-25,1,22985.25,23000,169.05,133.45,219.1,111.5,-2107.5,-2192.5,StopLoss,29-01-25 9:33,29-01-25 10:10,30-01-25,Wednesday,1,-4572.5,,20.60296875,16.2662205,0.92317785,0.46980525,38.26217235,-2145.762172
29-01-25,2,23095.8,23100,143.35,164.45,111.65,208.55,-930,-1015,StopLoss,29-01-25 10:15,29-01-25 11:23,30-01-25,Wednesday,1,-5587.5,,17.47078125,20.0448105,0.470437275,0.878725425,38.86475445,-968.8647545
29-01-25,3,23020.3,23000,192.4,126.3,256.95,98.2,-2733.75,-2818.75,StopLoss,29-01-25 11:28,29-01-25 12:17,30-01-25,Wednesday,1,-8406.25,,23.44875,15.394707,1.082658825,0.4137657,40.33988153,-2774.089882
29-01-25,4,23151.8,23150,149.65,163.6,144.15,149.45,1473.75,1388.75,Exit,29-01-25 12:22,29-01-25 15:20,30-01-25,Wednesday,1,-7017.5,,18.23859375,19.941204,0.607376025,0.629707575,39.41688135,1434.333119
30-01-25,0,23155.55,23150,115.65,128.75,147.95,80.85,1170,1085,StopLoss,30-01-25 9:20,30-01-25 9:47,30-01-25,Thursday,0,1085,,14.09484375,15.6933375,0.623387325,0.340661475,30.75223005,1139.24777
30-01-25,1,23225.45,23250,87.05,119.7,126.65,103,-1717.5,-1802.5,StopLoss,30-01-25 9:52,30-01-25 10:09,30-01-25,Thursday,0,-717.5,,10.60921875,14.590233,0.533639775,0.4339905,26.16708203,-1743.667082
